SOLICITUD;ESTADO_SOLICITUD;F_SOLCIITUD;F_CARGUE_SOLICITUD;Tipo_Op;ORIGEN;DESTINO;OBSERVACIONES;VIAJE;PLACA;FECHA CITA;CLIENTE;CANAL DE DISTRIBUCIÓN;NEGOCIO;CUMPLE;SEGUIMIENTO;CAUSA;ASIGNADA ;ABECEDARIO;CONS;MES;DIA;CITA REPRO.;TIPOLOGIA;PROPIETARIO;ConductorNombre;ConductorCel;
S2-354576;Confirmada;28/03/2019;29/03/2019;NACIONAL;GIRARDOTA;CALI;AC CD TC ALFONSO LOPEZ CITA LUNES 01 DE ABRIL 5 AM MULA EN PLANCHA;VS-804531;SNR533;01/04/2019 5:00;AC CD TC ALFONSO LOPEZ;ALMACENES CORONA;REVESTIMIENTO;SI;;;;;;;;;;;;;
S2-354751;Confirmada;29/03/2019;30/03/2019;CROSSDOCKING TRAMO 1;GIRARDOTA;YUMBO;AC CD BODEGA CALI CITA LUNES 01 DE ABRIL 5 AM // DESPUES ENTREGAR EN YUMBO MULA EN PLANCHA;;;01/04/2019 5:00;AC CD BODEGA CALI;ALMACENES CORONA;REVESTIMIENTO;SI;;;;;;;;;;;;;
S2-355179;Confirmada;29/03/2019;30/03/2019;URBANO;SOPO;BOGOTA;"""SODIMAC COL. S.A. (SUR)//BOSA CENTRO - 01 ABRIL CITA SODIMAC 5AM LUEGO EL OTRO CLIENTE";VS-805731;THK106;01/04/2019 5:00;SD SUR BOGOTA ;AUTOSERVICO ;REVESTIMIENTO;SI;;;;;;;;;;;;;
S2-355183;;29/03/2019;30/03/2019;URBANO;SOPO;BOGOTA;SODIMAC COL. S.A. (NORTE)//COVAL SOPO - 01 ABRIL CITA SODIMAC 5AM LUEGO EL OTRO CLIENTE;;;01/04/2019 5:00;SD NORTE BOGOTA ;AUTOSERVICO ;REVESTIMIENTO;SI;;;;;;;;;;;;;
S2-355330;;29/03/2019;30/03/2019;NACIONAL;MADRID;MEDELLIN;CITA MATERIALES SU COSNTRUCCION EL DIA 01 DE ABRIL  A LAS 5:00 AM LUNES       CARGAR ESTIBADO LLAMARA A GUSTAVO 3127852316;;;01/04/2019 5:00;MATERIALES SU CONSTRUCCION S.A;MAYORISTA ;REVESTIMIENTO;SI;;;;;;;;;;;;;
S2-355788;Confirmada;30/03/2019;30/03/2019;CROSSDOCKING TRAMO 1;MADRID;YUMBO;AC CD BODEGA CALI CITA LUNES 01 DE ABRIL 5 AM // DESPUES ENTREGAR EN YUMBO MULA EN PLANCHA;VS-805792;SLF344;01/04/2019 5:00;AC CD BODEGA CALI;ALMACENES CORONA;REVESTIMIENTO;SI;;;;;;;;;;;;;
S2-355819;Confirmada;30/03/2019;30/03/2019;NACIONAL;SOPO;YUMBO;AC CD TC ALFONSO LOPEZ CITA LUNES 01 DE ABRIL 05 AM // DESPUES ENTREGAR EN YUMBO;;;01/04/2019 5:00;AC CD TC ALFONSO LOPEZ;ALMACENES CORONA;REVESTIMIENTO;NO;;VARADO;GESTIÓN PROVEEDORES;;;;;;;;;;
S2-353962;Confirmada;28/03/2019;29/03/2019;NACIONAL;SOPO;IBAGUE;COMERCIAL INVERSORA CITA LUNES 1 DE ABRIL 6 AM //FERRETERIA GODOY;VS-804212;TFV909;01/04/2019 6:00;PRODIVERSO;CONTRUCTOR ;REVESTIMIENTO;SI;;;;;;;;;;;;;
S2-353969;Confirmada;28/03/2019;29/03/2019;NACIONAL;SOPO;FLORENCIA;MONTES DE MARLES MYRIAM AMPARO CITA LUNES 1 DE ABRIL 6 AM;VS-803890;SZZ720;01/04/2019 6:00;PRODIVERSO;CONTRUCTOR ;REVESTIMIENTO;NO;;NO SE CARGO VEHÍCULO CON CLIENTES PROGRAMADOS;DISTRIBUCIÓN;;;;;;;;;;
S2-353970;Confirmada;28/03/2019;30/03/2019;NACIONAL;SOPO;MONTERIA;7 CLIENTES MONTERIA CITA 1 DE ABRIL A LAS 6:00 AM SODIMAC/MAXICASSA 1 DE ABRIL 10:00 AM;VS-804066;SXV859;01/04/2019 6:00;SD MONTERIA;AUTOSERVICO ;REVESTIMIENTO;NO;;DEMORA DESCARGUE DE UN CLIENTE ANTERIOR;SERVICIO AL CLIENTE;;;;;;;;;;
S2-354020;Confirmada;28/03/2019;29/03/2019;NACIONAL;SABANETA;SAN FRANCISCO DE QUIBDO;SURTIZORA CITA LUNES 1 DE ABRIL 6 AM COMBINADO CON GIRARDOTA;VS-803821;TTS423;01/04/2019 6:00;PRODIVERSO;CONTRUCTOR ;REVESTIMIENTO;SI;;;;;;;;;;;;;
S2-352227;Confirmada;26/03/2019;29/03/2019;NACIONAL;SOPO;CALI;AC CD HC CALI SUR CITA LUNES 01 DE ABRIL 6 AM;VS-801841;SUA549;01/04/2019 6:00;AC CD HC CALI SUR;ALMACENES CORONA;REVESTIMIENTO;SI;;;;;;;;;;;;;
S2-352331;;26/03/2019;29/03/2019;URBANO;MADRID;FUNZA;01 ABR  CITA 6 AM   EN EN (8000007847) COLOMBIANA DE COMERCIO S.A.  CARGUE  FRONTAL Y EN PLANCHON (ESTIBADO). NOTA CADA ORDEN DE COMPRA SE DEBE GENERAR UNA FACTURA PARA ESTA CLIENTE------EN DUQUE PULIDO / AV 10 14 75 / FUNZA;;;01/04/2019 6:00;COLOMBIANA DE COMERCIO S.A.;MAYORISTA ;REVESTIMIENTO;SI;;;;;;;;;;;;;
S2-354044;Confirmada;28/03/2019 9:58;29/03/2019 7:00;NACIONAL;MADRID;MEDELLIN;CITA COLOMABIANA DE COMERCIO EL DIA 1 DE ABRIL A LAS 6:00 AM DEBE CARGARSE ESTIBADO Y FRONATLAMNETE;;TUK333;01/04/2019 6:00;COLOMBIANA DE COMERCIO S.A.;MAYORISTA ;REVESTIMIENTO;NO;CITA REPROGRAMADA;ERROR EN LA ASIGNACIÓN DE LA CITA DE ENTREGA;ADMIN DE ENTREGAS;;;;;02/04/2019 8:00;;;;;
S2-354096;Confirmada;28/03/2019;28/03/2019;NACIONAL;SOACHA;NEIVA;SODIMAC NEIVA CITA LUNES 1 ABRIL 6:00 A.M//BASTO FALLA JOSE DAIRO SOLO RECIBE DE LUNES A VIERNES;VS-804354;GYK993;01/04/2019 6:00;SD NEIVA;AUTOSERVICO ;SUMICOL;SI;;;;;;;;;;;;;
S2-354364;;28/03/2019;29/03/2019;NACIONAL;SOACHA;CUCUTA;SODIMAC COL. S.A. (BMANGA) CITA LUNES 01 ABRIL 6:00 A.M//AC CD CCI CUCUTA//SODIMAC COL. S.A. (CUCUTA) CITA MARTES 02 ABRIL 6:00 A.M//LA TIENDA DEL CONSTRUCTOR S.;;;01/04/2019 6:00;SD BUCARAMANGA;AUTOSERVICO ;SUMICOL;SI;;;;;;;;;;;;;
S2-354410;Confirmada;28/03/2019;29/03/2019;NACIONAL;SABANETA;YUMBO;COLOMBIANA DE COMERCIO S.A.(CALI) CITA LUNES 1 DE ABRIL 6 AM;VS-804382;MQE176;01/04/2019 6:00;COLOMBIANA DE COMERCIO S.A.;MAYORISTA ;SUMICOL;SI;;;;;;;;;;;;;
S2-354421;Confirmada;28/03/2019;29/03/2019;NACIONAL;RIONEGRO;YUMBO;CD YUMBO CITA LUNES 1 DE ABRIL 6 AM;VS-804353;TFW534;01/04/2019 6:00;CD YUMBO;#N/A;SUMICOL;SI;;;;;;;;;;;;;
S2-354422;Confirmada;28/03/2019;29/03/2019;NACIONAL;SABANETA;SOACHA;CD SOACHA CITA LUNES 1 DE ABRIL 6 AM;VS-804344;TUK334;01/04/2019 6:00;CD SOACHA;#N/A;SUMICOL;SI;;;;;;;;;;;;;
S2-354424;Confirmada;28/03/2019;29/03/2019;NACIONAL;MADRID;CALI;SODIMAC COL. S.A. (CALI NORTE) CITA LUNES 01 DE ABRIL 6 AM // SODIMAC COL. S.A. (CALI SUR) CITA MARTES 02 DE ABRIL 6 AM;;;01/04/2019 6:00;SD CALI NORTE;AUTOSERVICO ;REVESTIMIENTO;SI;;;;;;;;;;;;;
S2-354455;;28/03/2019;29/03/2019;NACIONAL;GIRARDOTA;CARTAGENA;CITA CRITICA  01   ABRIL    06 AM  SODIMAC COL. S.A. (CARTAGENA)-CITA 10 AM  AC CD HC GALICIA-EDIFICIO GEMINIS;;;01/04/2019 6:00;SD CARTAGENA;AUTOSERVICO ;BAÑOS y COCINAS;SI;;;;;;;;;;;;;
