NACIONAL; 12,47,85;
NACIONALES; 66,61,27,12;
NAL; 47;
NATURAL; 37;
NATURALES; 55,36;
NAVEGADOR; 7,8;
NAVEGADORES; 7;
NECESARIA; 226,75;
NECESARIAS; 71,44,39,12;
NECESARIO; 90;
NECESARIOS; 158,151,63;
NECESIDAD; 234,232,209,206,204,193,170,168,136,60,59;
NECESIDADES; 192,179,178,177,172;
NECESITA; 8;
NECESITE; 193;
NEGOCIO; 135;
NET; 3,27,7,2;
NI; 3,90,60,12;
NINGUNA; 90,3;
NINGÚN; 149,162,114,75,74,73,72,71,34,32,21,3;
NIT; 37,28,27,26,25,12,241,240,237,204,179,137,125,123,122,79,13;
NIVEL; 12;
NIVELES; 169,168;
NO; 37,31,12,47,85,61,162,193,42,71,40,28,149,74,64,34,196,50,45,8,159,90,88,7,225,172,156,143,127,92,69,68,21,15,3,230,209,208,201,187,184,175,166,165,154,137,134,114,103,99,97,96,95,91,89,87,86,82,80,78,75,73,72,67,66,63,62,60,48,44,43,39,38,35,33,32,27,26,25,13;
NOMBRE; 61,31,225,12,149,102,90,47,37,18,240,239,237,236,193,172,156,122,81,75,28,8,7,245,244,242,241,235,204,201,200,199,198,196,195,194,191,181,180,167,166,162,160,153,150,137,127,125,124,123,104,100,94,92,85,82,78,74,73,72,69,68,67,64,63,62,59,42,35,27,26,25,23,20,19;
NOMBRES; 141,90,37,31;
NOMBRE_ARCHIVO; 90;
NOMBRE_ARCHIVO.CVS; 90;
NORMALMENTE; 8;
NOTA; 8,198,196,159,126,125,124,123,121,119,118,116,114,112,111,110,109,107,90,89,88,74,71,64,9,7;
NOTAS; 102,101;
NOTIFICA; 193;
NOTIFICAR; 27,3;
NOVEDAD; 193,196,102,225,204,138,117,116,104,60,140,238,232,216,195,194,132,129,101,94;
NOVEDADES; 136,140,126,125,118,195,132,129,104,237,231,194,192,127,101,193,122,121,117,196,138,116,226,224,204,143,105,102,232,228,225,223,222,220,218,189,137,120,98,60;
NRO; 119,12;
NUESTRA; 214;
NUEVA; 166,204,137,8;
NUEVAMENTE; 162;
NUEVO; 160,23,181,178,149,26,16;
NUMERO; 136,135;
NUMÉRICO; 37,31,12,42,47,85,71,225,193,172,156,61;
NUTRE; 189;
Nº; 118,31,85,37,42;
NÚCLEO; 6;
NÚMERO; 37,31,47,12,136,85,108,227,139,120,42,40,18,8,232,230,185,160,154,145,144,142,141,138,119,118,114,112,111,110,109,107,104,103,101,100,99,97,96,95,94,89,88,86,71,61,56,54,51,48,44,43,39,38,35,34,33,22;
