0xu0031;1.5GHZ;1998;
0xu0032;2.2.29;2MG;
0xu0033;3.14.34-27.48.AMZN1.X86_64;399;
0xu0034;40;49;
0xu0035;50;5GHZ;
0xu0036;60;69;
0xu0037;70;79;
0xu0038;80;89;
0xu0039;90;99;
0xu0041;A1;AÑO;
0xu0042;B2;BÚSQUEDA;
0xu0043;C3;CÓDIGOS;
0xu0044;DA;DÍGITO;
0xu0045;E-MAIL;EXTENDERSE;
0xu0046;FACILITAR;FÍSICOS;
0xu0047;GARANTIZA;GÉNERO;
0xu0048;HA;HURTO;
0xu0049;ICONO;IZQUIERDO;
0xu004a;JAVA;JUSTIFICAR;
0xu004b;K/M;KILÓMETROS;
0xu004c;L&T;LÍNEAS;
0xu004d;MA;MÓVILES;
0xu004e;NACIONAL;NÚMERO;
0xu004f;OBJETIVO;OTROS;
0xu0050;PACTADO;PÓLIZA;
0xu0051;QUE;QUÉ;
0xu0052;R00000;RÉGIMEN;
0xu0053;S/N;SÓLO;
0xu0054;TABLA;TÉCNICO;
0xu0055;UBICACIÓN;UTILIZARÁN;
0xu0056;VA;VÍA;
0xu0057;WAP;WINDOWS;
0xu0058;X86_64;X86_64;
0xu0059;Y/O;YA;
0xu005a;ZONA;ZONAS;
0xu00c1;ÁGIL;ÁREA;
0xu00c9;ÉSTA;ÉXITO;
0xu00d3;ÓPTICO;ÓPTIMO;
0xu00da;ÚLTIMA;ÚTIL;
