OBJETIVO; 230;
OBLIGATORIAMENTE; 8;
OBLIGATORIO; 31,47,12,85,193,117,116,71,37,225,187,184,172,162,156,149,142,128,119,92,61,42;
OBLIGATORIOS; 125,124,123;
OBSERVACIONES; 37,47,12,224,220,213,170,104,94,91,89,85,31;
OBSERVACIÓN; 225,102,153,100,61,31;
OBSERVAR; 135,19;
OBSERVARÁ; 136;
OCURRIDAS; 60;
OCURRIR; 192,189;
OET; 139;
OFRECE; 161,148;
OLVIDE; 7;
OMITA; 7;
OPCIONAL; 117,116,37,132,129,31;
OPCIONES; 8,10,34,15,243,221,217,216,207,202,197,193,192,188,183,182,176,171,161,156,155,148,147,133,98,93,88,86,84,77,70,65,60,52,51,50,49,46,41,36,33,31,30,29,24,22,21,17,16,14,13,11;
OPCIÓN; 37,23,162,31,90,61,47,27,12,191,26,13,8,238,218,193,181,166,156,149,100,94,87,51,49,33,32,16,14,247,246,245,244,242,241,240,239,237,236,235,234,232,231,229,226,224,223,222,220,219,213,201,200,199,198,196,195,194,190,188,187,186,185,184,180,179,178,177,175,174,173,172,170,169,167,165,164,163,160,159,158,157,154,153,152,151,150,141,137,120,117,103,102,101,99,97,96,95,92,91,89,88,86,85,83,82,81,80,79,78,76,75,74,73,72,71,69,68,67,64,63,62,57,55,53,50,48,45,44,43,40,39,38,35,34,28,25,22,21,20,19,18,15,9;
OPERACIONES; 208,209,12;
OPERACIÓN; 139,9,143,47,40,238,237,208,69,5;
OPERADOR; 83,92,193,85,31,26,131;
OPERADORES; 209,181,83,59,5;
OPERADOS; 60;
OPERAR; 36;
OPERATIVO; 6,108;
OPORTUNA; 9;
OPRIMA; 144,131,69,66;
OPRIME; 68;
OPRIMIR; 206,68;
ORGANIZADO; 205;
ORIENTACIÓN; 8;
ORIGEN; 71,23,85,12,240,210,154,135,106,94,82,78,75,74,73,72,70,9;
ORIGEN-DESTINO; 210;
ORÍGENES; 240;
OTORGADOS; 160;
OTORGAR; 169,156,155;
OTORGARÁ; 169,156;
OTRA; 85,12;
OTRAS; 31,233,181,12;
OTRO; 210,8,187,68,26,22,3;
OTROS; 138,106,238,210,146,144,143,142,139,135,134,131,130,67,55,36,30,9;
